id,_Personne__id_personne,_Personne__sex,_Personne__nom,_Personne__prenom,_Personne__date_naissance,_Personne__nationalite,_Personne__pays,_Personne__taille,_Personne__poids,_Personne__statut,_Personne__id_csv,_Competiteur__surnom,_Competiteur__sport_pratique,_Competiteur__numero_maillot,_Competiteur__poste_principal,_Competiteur__nombre_medailles
3182,3182,,Berbatov,Dimitar,1981-01-03,,,188.0,74.8,{},27430.0,,3,,,0
3183,3183,,Rangelov,Dimitar,1983-03-07,,,183.0,79.8,{},37558.0,,3,,,0
3184,3184,,Bulykin,Dimitri,1979-11-02,,,190.0,84.8,{},5662.0,,3,,,0
3185,3185,,Cavare,Dimitri,1995-02-05,,,193.0,84.8,{},478345.0,,3,,,0
3186,3186,,Daeselaire,Dimitri,1990-05-18,,,170.0,60.8,{},148313.0,,3,,,0
3187,3187,,Foulquier,Dimitri,1993-03-23,,,183.0,78.0,{},261609.0,,3,,,0
3188,3188,,Mohamed,Dimitri,1989-06-01,,,183.0,69.9,{},277335.0,,3,,,0
3189,3189,,Payet,Dimitri,1987-03-29,,,175.0,77.1,{},25496.0,,3,,,0
3190,3190,,Lazarevski,Dimitrija,1982-09-23,,,178.0,74.8,{},15913.0,,3,,,0
3191,3191,,Injac,Dimitrije,1980-08-12,,,183.0,77.1,{},78413.0,,3,,,0
3192,3192,,Eleftheropoulos,Dimitrios,1976-08-07,,,190.0,83.0,{},39163.0,,3,,,0
3193,3193,,Papadopoulos,Dimitrios,1981-10-02,,,178.0,74.8,{},42325.0,,3,,,0
3194,3194,,Pelkas,Dimitrios,1993-10-26,,,175.0,68.0,{},358937.0,,3,,,0
3195,3195,,Sula,Din,1998-03-02,,,183.0,74.8,{},641168.0,,3,,,0
3196,3196,,,Dinei,1983-11-11,,,185.0,78.0,{},19277.0,,3,,,0
3197,3197,,,Diney,1995-01-17,,,185.0,82.1,{},496648.0,,3,,,0
3198,3198,,Bilyaletdinov,Diniyar,1985-02-27,,,185.0,77.1,{},10491.0,,3,,,0
3199,3199,,Arslanagic,Dino,1993-04-24,,,190.0,86.2,{},277848.0,,3,,,0
3200,3200,,Drpic,Dino,1981-05-26,,,193.0,88.9,{},8932.0,,3,,,0
3201,3201,,Islamovic,Dino,1994-01-17,,,190.0,88.0,{},557587.0,,3,,,0
3202,3202,,Amado,Diogo,1990-01-21,,,178.0,72.1,{},154267.0,,3,,,0
3203,3203,,Coelho,Diogo,1993-09-14,,,183.0,82.1,{},361735.0,,3,,,0
3204,3204,,Cunha,Diogo,1986-02-01,,,170.0,59.9,{},164105.0,,3,,,0
3205,3205,,Figueiras,Diogo,1991-07-01,,,168.0,64.0,{},242783.0,,3,,,0
3206,3206,,Jota,Diogo,1996-12-01,,,178.0,69.9,{},570461.0,,3,,,0
3207,3207,,Luis,Diogo,1980-08-01,,,185.0,77.1,{},150031.0,,3,,,0
3208,3208,,Melo,Diogo,1984-04-18,,,183.0,83.9,{},164397.0,,3,,,0
3209,3209,,Ribeiro,Diogo,1991-01-14,,,183.0,69.9,{},181208.0,,3,,,0
3210,3210,,Rosado,Diogo,1990-02-21,,,185.0,82.1,{},98374.0,,3,,,0
3211,3211,,Salomao,Diogo,1988-09-14,,,175.0,69.9,{},208926.0,,3,,,0
3212,3212,,Valente,Diogo,1984-09-23,,,178.0,74.8,{},40968.0,,3,,,0
3213,3213,,Viana,Diogo,1990-02-22,,,175.0,68.0,{},98375.0,,3,,,0
3214,3214,,Kamara,Diomansy,1980-11-08,,,180.0,77.1,{},24661.0,,3,,,0
3215,3215,,Cools,Dion,1996-06-04,,,183.0,77.1,{},543969.0,,3,,,0
3216,3216,,Malone,Dion,1989-02-13,,,185.0,82.1,{},110184.0,,3,,,0
3217,3217,,Villalba,Dionisio,1989-12-21,,,183.0,82.1,{},215711.0,,3,,,0
3218,3218,,,Dirceu,1988-01-05,,,190.0,88.0,{},139898.0,,3,,,0
3219,3219,,Kuyt,Dirk,1980-07-22,,,183.0,83.9,{},37139.0,,3,,,0
3220,3220,,Marcellis,Dirk,1988-04-13,,,180.0,79.8,{},41165.0,,3,,,0
3221,3221,,Naah,Divine,1996-04-02,,,180.0,68.0,{},583417.0,,3,,,0
3222,3222,,Origi,Divock,1995-04-18,,,185.0,74.8,{},426202.0,,3,,,0
3223,3223,,Kone,Djakaridja,1986-01-01,,,178.0,78.9,{},185000.0,,3,,,0
3224,3224,,,Djalma,1987-05-03,,,175.0,72.1,{},101197.0,,3,,,0
3225,3225,,,Djalmir,1976-03-22,,,183.0,73.9,{},163999.0,,3,,,0
3226,3226,,Mahamat,Djamal,1983-04-26,,,188.0,78.0,{},164228.0,,3,,,0
3227,3227,,Abdoun,Djamel,1986-02-14,,,175.0,64.9,{},26040.0,,3,,,0
3228,3228,,Bakar,Djamel,1989-04-06,,,170.0,71.2,{},74838.0,,3,,,0
3229,3229,,Belmadi,Djamel,1976-03-26,,,173.0,74.8,{},23304.0,,3,,,0
3230,3230,,Mesbah,Djamel,1984-10-09,,,178.0,73.9,{},41605.0,,3,,,0
3231,3231,,,Djaniny,1991-03-21,,,188.0,84.8,{},281338.0,,3,,,0
3232,3232,,Anderson,Djavan,1995-04-21,,,175.0,69.9,{},486819.0,,3,,,0
3233,3233,,,Djavan,1987-12-31,,,183.0,76.2,{},474682.0,,3,,,0
3234,3234,,Cisse,Djibril,1981-08-12,,,183.0,84.8,{},33418.0,,3,,,0
3235,3235,,Sidibe,Djibril,1992-07-29,,,183.0,73.0,{},242156.0,,3,,,0
3236,3236,,Fall,Djiby,1985-04-02,,,188.0,82.1,{},34370.0,,3,,,0
3237,3237,,Traore,Djimi,1980-03-01,,,190.0,86.2,{},35637.0,,3,,,0
3238,3238,,Rakic,Djordje,1985-10-31,,,188.0,83.0,{},31308.0,,3,,,0
3239,3239,,Susnjar,Djordje,1992-02-18,,,185.0,78.0,{},198500.0,,3,,,0
3240,3240,,Verkhovtsov,Dmitriy,1986-10-01,,,188.0,86.2,{},154192.0,,3,,,0
3241,3241,,Kim,Do-Heon,1982-07-14,,,175.0,66.2,{},31088.0,,3,,,0
3242,3242,,Rusov,Dobrivoj,1993-01-13,,,190.0,77.1,{},308842.0,,3,,,0
3243,3243,,Lukebakio,Dodi,1997-09-24,,,178.0,59.9,{},688876.0,,3,,,0
3244,3244,,,Dodo,1992-02-06,,,183.0,68.9,{},177874.0,,3,,,0
3245,3245,,Schmidt,Doke,1992-04-07,,,175.0,73.0,{},279861.0,,3,,,0
3246,3246,,Menga,Dolly,1993-05-02,,,180.0,73.0,{},300978.0,,3,,,0
3247,3247,,Pusic,Domagoj,1991-10-24,,,188.0,83.9,{},150084.0,,3,,,0
3248,3248,,Crnigoj,Domen,1995-11-18,,,185.0,79.8,{},340790.0,,3,,,0
3249,3249,,Berardi,Domenico,1994-08-01,,,183.0,72.1,{},364520.0,,3,,,0
3250,3250,,Criscito,Domenico,1986-12-03,,,183.0,74.8,{},41882.0,,3,,,0
3251,3251,,Maietta,Domenico,1982-08-03,,,183.0,74.8,{},42691.0,,3,,,0
3252,3252,,Cisma,Domingo,1982-02-09,,,183.0,78.0,{},74435.0,,3,,,0
